date,close,velocity,acceleration,reversal_binary,volume,percent_change
7/24/2024,215.99001,-30.38999,-25.26,0,167942900,-4.1833
7/25/2024,220.25,4.259989999999988,34.64997999999997,1,100636500,1.59133
7/26/2024,219.8,-0.45,-4.70999,1,94604100,-0.62842
7/29/2024,232.10001,12.300009999999986,12.750009999999975,1,129201800,3.20143
7/30/2024,222.62,-9.48001,-21.78002,1,100560300,-4.1464
7/31/2024,232.07001,9.450009999999992,18.930019999999985,1,67497000,1.82976
8/1/2024,216.86,-15.21001,-24.66002,1,83861900,-4.75647
8/2/2024,207.67,-9.19,6.020009999999957,0,82880100,-3.35536
8/5/2024,198.88,-8.79,0.4000000000000341,0,100308800,7.37502
8/6/2024,200.64,1.759999999999991,10.549999999999983,1,73783900,-0.05479
8/7/2024,191.75999,-8.88001,-10.64001,1,71159800,-4.48773
8/8/2024,198.84,7.080010000000016,15.960020000000014,1,65033900,1.6045
8/9/2024,200,1.1599999999999966,-5.92001,0,58648300,1.49708
8/12/2024,197.49001,-2.50999,-3.66999,1,64044900,-0.76877
8/13/2024,207.83,10.33999,12.849979999999988,1,76247400,4.71608
8/14/2024,201.38,-6.45,-16.78999,1,70250000,-2.89792
8/15/2024,214.14,12.759999999999991,19.210000000000008,1,89848500,4.44834
8/16/2024,216.12,1.9800000000000182,-10.78,0,88765100,2.35378
8/19/2024,222.72,6.599999999999994,4.619999999999976,0,76435200,2.60284
8/20/2024,221.10001,-1.61999,-8.21999,1,74001200,-1.6809
8/21/2024,223.27,2.1699900000000127,3.789980000000014,1,70146000,0.26946
8/22/2024,210.66,-12.61,-14.77999,1,79514500,-5.87973
8/23/2024,220.32001,9.66001,22.270010000000013,1,81525200,2.73244
8/26/2024,213.21001,-7.11,-16.77001,1,59301200,-2.53257
8/27/2024,209.21001,-4,3.109999999999985,0,62821400,-1.89449
8/28/2024,205.75,-3.46001,0.5399899999999889,0,64116400,-1.893
8/29/2024,206.28,0.5300000000000011,3.9900100000000123,1,62308800,-1.67779
8/30/2024,214.11,7.8300000000000125,7.300000000000011,0,63370600,2.62666
9/3/2024,210.60001,-3.50999,-11.33999,1,76714200,-2.16482
9/4/2024,219.41,8.809989999999999,12.319980000000015,1,80651800,4.18824
9/5/2024,230.17,10.759999999999991,1.9500099999999918,0,119355000,2.98894
9/6/2024,210.73,-19.44,-30.2,1,112177000,-9.40241
9/9/2024,216.27,5.5400000000000205,24.980000000000018,1,67443500,0.03238
9/10/2024,226.17,9.899999999999977,4.359999999999957,0,78891100,2.77184
9/11/2024,228.13,1.960000000000008,-7.94,0,83548600,1.5943
9/12/2024,229.81,1.6800000000000068,-0.28,0,72020000,2.29235
9/13/2024,230.28999,0.4799899999999866,-1.20001,0,59515100,1.00438
